name,slug, years,date_of_information,ranking,region
"Monaco","monaco","56.2","2023",1,"Europe"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","50.6","2023",2,"North America"
"Japan","japan","49.5","2023",3,"East and Southeast Asia"
"Italy","italy","48.1","2023",4,"Europe"
"Andorra","andorra","48.1","2023",5,"Europe"
"Saint Barthelemy","saint-barthelemy","47","2023",6,"Central America and the Caribbean"
"Hong Kong","hong-kong","46.8","2023",7,"East and Southeast Asia"
"Germany","germany","46.7","2023",8,"Europe"
"Spain","spain","46.3","2023",9,"Europe"
"Greece","greece","46.2","2023",10,"Europe"
"Portugal","portugal","46","2023",11,"Europe"
"Slovenia","slovenia","45.9","2023",12,"Europe"
"San Marino","san-marino","45.9","2023",13,"Europe"
"Puerto Rico","puerto-rico","45.6","2023",14,"Central America and the Caribbean"
"Ukraine","ukraine","45.3","2023",15,"Europe"
"Latvia","latvia","45.2","2023",16,"Europe"
"Romania","romania","45.1","2023",17,"Europe"
"Korea, South","korea-south","45","2023",18,"East and Southeast Asia"
"Lithuania","lithuania","45","2023",19,"Europe"
"Austria","austria","44.8","2023",20,"Europe"
"Isle of Man","isle-of-man","44.8","2023",21,"Europe"
"Croatia","croatia","44.8","2023",22,"Europe"
"Guernsey","guernsey","44.8","2023",23,"Europe"
"Estonia","estonia","44.7","2023",24,"Europe"
"Bulgaria","bulgaria","44.7","2023",25,"Europe"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","44.7","2023",26,"Africa"
"Hungary","hungary","44.5","2023",27,"Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","44.4","2023",28,"Europe"
"Liechtenstein","liechtenstein","44.1","2023",29,"Europe"
"Taiwan","taiwan","44","2023",30,"East and Southeast Asia"
"Switzerland","switzerland","44","2023",31,"Europe"
"Czechia","czechia","43.9","2023",32,"Europe"
"Bermuda","bermuda","43.7","2023",33,"North America"
"Serbia","serbia","43.7","2023",34,"Europe"
"Malta","malta","43.2","2023",35,"Europe"
"Finland","finland","43.2","2023",36,"Europe"
"Virgin Islands","virgin-islands","42.7","2023",37,"Central America and the Caribbean"
"Slovakia","slovakia","42.5","2023",38,"Europe"
"Canada","canada","42.4","2023",39,"North America"
"Poland","poland","42.4","2023",40,"Europe"
"France","france","42.4","2023",41,"Europe"
"Cuba","cuba","42.3","2023",42,"Central America and the Caribbean"
"Netherlands","netherlands","42.2","2023",43,"Europe"
"Denmark","denmark","42.2","2023",44,"Europe"
"Macau","macau","42","2023",45,"East and Southeast Asia"
"Belgium","belgium","41.9","2023",46,"Europe"
"Belarus","belarus","41.7","2023",47,"Europe"
"Russia","russia","41.5","2023",48,"Central Asia"
"Sint Maarten","sint-maarten","41.1","2023",49,"Central America and the Caribbean"
"Barbados","barbados","41","2023",50,"Central America and the Caribbean"
"Sweden","sweden","41","2023",51,"Europe"
"Cayman Islands","cayman-islands","41","2023",52,"Central America and the Caribbean"
"Thailand","thailand","41","2023",53,"East and Southeast Asia"
"Montenegro","montenegro","40.7","2023",54,"Europe"
"Aruba","aruba","40.7","2023",55,"Central America and the Caribbean"
"Cook Islands","cook-islands","40.6","2023",56,"Australia and Oceania"
"Norway","norway","40.6","2023",57,"Europe"
"United Kingdom","united-kingdom","40.6","2023",58,"Europe"
"North Macedonia","north-macedonia","40.1","2023",59,"Europe"
"Ireland","ireland","39.8","2023",60,"Europe"
"Luxembourg","luxembourg","39.8","2023",61,"Europe"
"China","china","39.8","2023",62,"East and Southeast Asia"
"Moldova","moldova","39.4","2023",63,"Europe"
"Mauritius","mauritius","39.3","2023",64,"Africa"
"Cyprus","cyprus","39.1","2023",65,"Europe"
"Saint Lucia","saint-lucia","39","2023",66,"Central America and the Caribbean"
"Singapore","singapore","38.9","2023",67,"East and Southeast Asia"
"United States","united-states","38.5","2020",68,"North America"
"Armenia","armenia","38.3","2023",69,"Middle East"
"Seychelles","seychelles","38.2","2023",70,"Africa"
"British Virgin Islands","british-virgin-islands","38.2","2023",71,"Central America and the Caribbean"
"Saint Kitts and Nevis","saint-kitts-and-nevis","38.1","2023",72,"Central America and the Caribbean"
"Jersey","jersey","38","2023",73,"Europe"
"Trinidad and Tobago","trinidad-and-tobago","38","2023",74,"Central America and the Caribbean"
"Georgia","georgia","38","2023",75,"Middle East"
"Australia","australia","37.9","2023",76,"Australia and Oceania"
"Iceland","iceland","37.8","2023",77,"Europe"
"New Zealand","new-zealand","37.7","2023",78,"Australia and Oceania"
"Curacao","curacao","37.5","2023",79,"Central America and the Caribbean"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","37","2023",80,"Central America and the Caribbean"
"Anguilla","anguilla","36.8","2023",81,"Central America and the Caribbean"
"Faroe Islands","faroe-islands","36.8","2023",82,"Europe"
"Gibraltar","gibraltar","36.6","2023",83,"Europe"
"Chile","chile","36.6","2023",84,"South America"
"Dominica","dominica","36.5","2023",85,"Central America and the Caribbean"
"Montserrat","montserrat","36.4","2023",86,"Central America and the Caribbean"
"Uruguay","uruguay","36.2","2023",87,"South America"
"Turks and Caicos Islands","turks-and-caicos-islands","35.9","2023",88,"Central America and the Caribbean"
"Lebanon","lebanon","35.8","2023",89,"Middle East"
"Albania","albania","35.8","2023",90,"Europe"
"Wallis and Futuna","wallis-and-futuna","35.8","2023",91,"Australia and Oceania"
"United Arab Emirates","united-arab-emirates","35.7","2023",92,"Middle East"
"Korea, North","korea-north","35.6","2023",93,"East and Southeast Asia"
"Grenada","grenada","35","2023",94,"Central America and the Caribbean"
"Palau","palau","35","2023",95,"Australia and Oceania"
"Costa Rica","costa-rica","35","2023",96,"Central America and the Caribbean"
"Greenland","greenland","35","2023",97,"North America"
"French Polynesia","french-polynesia","34.8","2023",98,"Australia and Oceania"
"Brazil","brazil","34.7","2023",99,"South America"
"Qatar","qatar","34.2","2023",100,"Middle East"
"Tunisia","tunisia","34","2023",101,"Africa"
"Saint Martin","saint-martin","34","2023",102,"Central America and the Caribbean"
"New Caledonia","new-caledonia","33.9","2023",103,"Australia and Oceania"
"Sri Lanka","sri-lanka","33.9","2023",104,"South Asia"
"Azerbaijan","azerbaijan","33.8","2023",105,"Middle East"
"Turkey (Turkiye)","turkey-turkiye","33.6","2023",106,"Middle East"
"Antigua and Barbuda","antigua-and-barbuda","33.6","2023",107,"Central America and the Caribbean"
"Bahrain","bahrain","33.3","2023",108,"Middle East"
"Iran","iran","33.3","2023",109,"Middle East"
"Argentina","argentina","33","2023",110,"South America"
"Vietnam","vietnam","32.7","2023",111,"East and Southeast Asia"
"Colombia","colombia","32.4","2023",112,"South America"
"Northern Mariana Islands","northern-mariana-islands","32.3","2023",113,"Australia and Oceania"
"Brunei","brunei","32","2023",114,"East and Southeast Asia"
"Saudi Arabia","saudi-arabia","32","2023",115,"Middle East"
"Kosovo","kosovo","31.7","2023",116,"Europe"
