name,slug,value,date_of_information,ranking,region,area,density
China,china,"1,413,142,846",2023,1,East and Southeast Asia,9596960,147.25
India,india,"1,399,179,585",2023,2,South Asia,3287263,425.64
United States,united-states,"339,665,118",2023,3,North America,9833517,34.54
Indonesia,indonesia,"279,476,346",2023,4,East and Southeast Asia,1904569,146.74
Pakistan,pakistan,"247,653,551",2023,5,South Asia,796095,311.09
Nigeria,nigeria,"230,842,743",2023,6,Africa,923768,249.89
Brazil,brazil,"218,689,757",2023,7,South America,8515770,25.68
Bangladesh,bangladesh,"167,184,465",2023,8,South Asia,148460,1126.12
Russia,russia,"141,698,923",2023,9,Central Asia,17098242,8.29
Mexico,mexico,"129,875,529",2023,10,North America,1964375,66.12
Japan,japan,"123,719,238",2023,11,East and Southeast Asia,377915,327.37
Ethiopia,ethiopia,"116,462,712",2023,12,Africa,1104300,105.46
Philippines,philippines,"116,434,200",2023,13,East and Southeast Asia,300000,388.11
"Congo, Democratic Republic of the",congo-democratic-republic-of-the,"111,859,928",2023,14,Africa,2344858,47.7
Egypt,egypt,"109,546,720",2023,15,Africa,1001450,109.39
Vietnam,vietnam,"104,799,174",2023,16,East and Southeast Asia,331210,316.41
Iran,iran,"87,590,873",2023,17,Middle East,1648195,53.14
Germany,germany,"84,220,184",2023,18,Europe,357022,235.9
Turkey (Turkiye),turkey-turkiye,"83,593,483",2023,19,Middle East,783562,106.68
Thailand,thailand,"69,794,997",2023,20,East and Southeast Asia,513120,136.02
France,france,"68,521,974",2023,21,Europe,643801,106.43
United Kingdom,united-kingdom,"68,138,484",2023,22,Europe,243610,279.7
Tanzania,tanzania,"65,642,682",2023,23,Africa,947300,69.29
Italy,italy,"61,021,855",2023,24,Europe,301340,202.5
South Africa,south-africa,"58,048,332",2023,25,Africa,1219090,47.62
Burma,burma,"57,970,293",2023,26,East and Southeast Asia,676578,85.68
Kenya,kenya,"57,052,004",2023,27,Africa,580367,98.3
"Korea, South",korea-south,"51,966,948",2023,28,East and Southeast Asia,99720,521.13
Colombia,colombia,"49,336,454",2023,29,South America,1138910,43.32
