country,region,ladder_score,logged_GDP_per_capita,social_support,healthy_life_expectancy,freedom_life_choices,generosity,perceptions_corruption,population_density,unemployment_rate,median_age,gini_coefficient,avg_temperature,lt_alcohol_per_capita
Finland,Europe,7.804,10.792,0.969,71.15,0.961,-0.019,0.182,16.6,7.16,43.2,27.7,3.24,8.23
Denmark,Europe,7.586,10.962,0.954,71.25,0.934,0.134,0.196,138.0,5.14,42.2,27.7,9.77,9.16
Iceland,Europe,7.53,10.896,0.983,72.05,0.936,0.211,0.668,3.5,3.56,37.8,26.1,2.11,7.72
Israel,Middle East,7.473,10.639,0.943,72.697,0.809,-0.023,0.708,412.24,3.39,30.1,38.6,20.23,3.07
Netherlands,Europe,7.403,10.942,0.93,71.55,0.887,0.213,0.379,420.38,3.56,42.2,29.2,11.72,8.23
Sweden,Europe,7.395,10.883,0.939,72.15,0.948,0.165,0.202,23.4,7.59,41.0,29.3,3.84,7.1
Norway,Europe,7.315,11.088,0.943,71.5,0.947,0.141,0.283,17.29,3.58,40.6,27.7,2.88,6.05
Switzerland,Europe,7.24,11.164,0.92,72.9,0.891,0.027,0.266,207.47,4.05,44.0,33.1,8.08,9.41
Luxembourg,Europe,7.228,11.66,0.879,71.675,0.915,0.024,0.345,255.58,5.19,39.8,34.2,11.43,11.0
New Zealand,Australia and Oceania,7.123,10.662,0.952,70.35,0.887,0.175,0.271,19.01,3.74,37.7,36.2,11.66,9.17
Austria,Europe,7.097,10.899,0.888,71.15,0.855,0.102,0.497,106.6,5.24,44.8,30.2,8.65,11.9
Australia,Australia and Oceania,7.095,10.821,0.934,71.05,0.89,0.198,0.496,3.42,3.67,37.9,34.3,21.96,9.51
Canada,North America,6.961,10.773,0.929,71.4,0.874,0.153,0.42,3.86,5.37,42.4,33.3,-4.22,8.0
Ireland,Europe,6.911,11.527,0.905,71.3,0.874,0.092,0.358,75.76,4.34,39.8,30.6,10.35,10.91
United States,North America,6.894,11.048,0.919,65.85,0.8,0.137,0.689,34.54,3.63,38.5,41.5,9.73,8.93
