Country,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,value,value_gini,ranking_unemployment,ranking_median_age,Average Temperature
Finland,10.792,0.969,71.15,0.961,-0.019,0.182,"5,614,571",27.7,141.0,36.0,
Denmark,10.962,0.954,71.25,0.934,0.134,0.196,"5,946,984",27.7,100.0,44.0,
Iceland,10.896,0.983,72.05,0.936,0.211,0.668,"360,872",26.1,64.0,77.0,
Israel,10.639,0.943,72.697,0.809,-0.023,0.708,"9,043,387",38.6,59.0,137.0,
Netherlands,10.942,0.93,71.55,0.887,0.213,0.379,"17,463,930",29.2,65.0,43.0,
Sweden,10.883,0.939,72.15,0.948,0.165,0.202,"10,536,338",29.3,144.0,51.0,
Norway,11.088,0.943,71.5,0.947,0.141,0.283,"5,597,924",27.7,67.0,57.0,
Switzerland,11.164,0.92,72.9,0.891,0.027,0.266,"8,563,760",33.1,79.0,31.0,
Luxembourg,11.66,0.879,71.675,0.915,0.024,0.345,"660,924",34.2,101.0,61.0,
New Zealand,10.662,0.952,70.35,0.887,0.175,0.271,"5,109,702",36.2,74.0,78.0,
Austria,10.899,0.888,71.15,0.855,0.102,0.497,"8,940,860",30.2,102.0,20.0,
Australia,10.821,0.934,71.05,0.89,0.198,0.496,"26,461,166",34.3,71.0,76.0,
Canada,10.773,0.929,71.4,0.874,0.153,0.42,"38,516,736",33.3,106.0,39.0,
Ireland,11.527,0.905,71.3,0.874,0.092,0.358,"5,323,991",30.6,88.0,60.0,
United States,11.048,0.919,65.85,0.8,0.137,0.689,"339,665,118",41.5,68.0,68.0,
Germany,10.879,0.896,71.3,0.846,0.03,0.42,"84,220,184",31.7,49.0,8.0,
Belgium,10.844,0.915,70.899,0.825,0.001,0.549,"11,913,633",27.2,109.0,46.0,
Czechia,10.611,0.953,69.05,0.903,0.04,0.859,"10,706,242",25.3,32.0,32.0,
United Kingdom,10.704,0.882,70.3,0.852,0.253,0.454,"68,138,484",35.1,80.0,58.0,
Lithuania,10.568,0.939,67.397,0.748,-0.145,0.805,"2,655,755",35.3,138.0,19.0,
France,10.701,0.909,72.3,0.819,-0.1,0.553,"68,521,974",32.4,143.0,41.0,
Slovenia,10.588,0.951,71.052,0.913,0.014,0.771,"2,099,790",24.4,69.0,12.0,
Costa Rica,9.952,0.872,70.0,0.895,-0.07,0.768,"5,256,612",49.3,152.0,96.0,
Romania,10.339,0.848,67.051,0.856,-0.172,0.929,"18,326,327",34.8,113.0,17.0,
