Country,Region,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Population,Ranking_unemployment,Ranking_median_age,Gini coefficient,Average Temperature
Finland,Europe,7.804,10.792,0.969,71.15,0.961,-0.019,0.182,"5,614,571",141,36,27.7,3.24
Denmark,Europe,7.586,10.962,0.954,71.25,0.934,0.134,0.196,"5,946,984",100,44,27.7,9.77
Iceland,Europe,7.53,10.896,0.983,72.05,0.936,0.211,0.668,"360,872",64,77,26.1,2.11
Israel,Middle East,7.473,10.639,0.943,72.697,0.809,-0.023,0.708,"9,043,387",59,137,38.6,20.23
Netherlands,Europe,7.403,10.942,0.93,71.55,0.887,0.213,0.379,"17,463,930",65,43,29.2,11.72
Sweden,Europe,7.395,10.883,0.939,72.15,0.948,0.165,0.202,"10,536,338",144,51,29.3,3.84
Norway,Europe,7.315,11.088,0.943,71.5,0.947,0.141,0.283,"5,597,924",67,57,27.7,2.88
Switzerland,Europe,7.24,11.164,0.92,72.9,0.891,0.027,0.266,"8,563,760",79,31,33.1,8.08
Luxembourg,Europe,7.228,11.66,0.879,71.675,0.915,0.024,0.345,"660,924",101,61,34.2,11.43
New Zealand,Australia and Oceania,7.123,10.662,0.952,70.35,0.887,0.175,0.271,"5,109,702",74,78,36.2,11.66
Austria,Europe,7.097,10.899,0.888,71.15,0.855,0.102,0.497,"8,940,860",102,20,30.2,8.65
Australia,Australia and Oceania,7.095,10.821,0.934,71.05,0.89,0.198,0.496,"26,461,166",71,76,34.3,21.96
Canada,North America,6.961,10.773,0.929,71.4,0.874,0.153,0.42,"38,516,736",106,39,33.3,-4.22
Ireland,Europe,6.911,11.527,0.905,71.3,0.874,0.092,0.358,"5,323,991",88,60,30.6,10.35
United States,North America,6.894,11.048,0.919,65.85,0.8,0.137,0.689,"339,665,118",68,68,41.5,9.73
Germany,Europe,6.892,10.879,0.896,71.3,0.846,0.03,0.42,"84,220,184",49,8,31.7,10.83
Belgium,Europe,6.859,10.844,0.915,70.899,0.825,0.001,0.549,"11,913,633",109,46,27.2,11.98
Czechia,Europe,6.845,10.611,0.953,69.05,0.903,0.04,0.859,"10,706,242",32,32,25.3,n/a
United Kingdom,Europe,6.796,10.704,0.882,70.3,0.852,0.253,0.454,"68,138,484",80,58,35.1,10.11
Lithuania,Europe,6.763,10.568,0.939,67.397,0.748,-0.145,0.805,"2,655,755",138,19,35.3,7.95
France,Europe,6.661,10.701,0.909,72.3,0.819,-0.1,0.553,"68,521,974",143,41,32.4,13.16
Slovenia,Europe,6.65,10.588,0.951,71.052,0.913,0.014,0.771,"2,099,790",69,12,24.4,11.04
Costa Rica,Central America and the Caribbean,6.609,9.952,0.872,70,0.895,-0.07,0.768,"5,256,612",152,96,49.3,24.64
Romania,Europe,6.589,10.339,0.848,67.051,0.856,-0.172,0.929,"18,326,327",113,17,34.8,11.2
Singapore,East and Southeast Asia,6.587,11.571,0.878,73.8,0.878,0.063,0.146,"5,975,383",61,67,45.9,27.7
United Arab Emirates,Middle East,6.571,11.145,0.826,66.243,0.942,0.096,0.584,"9,973,449",37,92,26,28.93
Taiwan Province of China,n/a,6.535,10.797,0.884,69.6,0.804,-0.129,0.681,n/a,n/a,n/a,n/a,n/a
Uruguay,South America,6.494,10.037,0.913,67.5,0.895,-0.065,0.575,"3,416,264",153,87,40.2,17.73
Slovakia,Europe,6.469,10.353,0.953,68.838,0.753,-0.016,0.898,"5,425,319",119,38,23.2,9.81
Saudi Arabia,Middle East,6.463,10.715,0.884,64.399,0.894,-0.081,0.691,"35,939,806",96,115,45.9,26.46
Estonia,Europe,6.455,10.541,0.946,69.65,0.929,0.032,0.409,"1,202,762",132,24,30.8,6.9
Spain,Europe,6.436,10.54,0.932,72.35,0.782,-0.066,0.711,"47,222,613",186,9,34.3,15.3
Italy,Europe,6.405,10.634,0.882,72.05,0.711,-0.074,0.842,"61,021,855",145,4,35.2,14.38
Kosovo,Europe,6.368,9.359,0.844,65.195,0.861,0.259,0.866,"1,964,327",217,116,29,n/a
Chile,South America,6.334,10.114,0.889,70.3,0.792,-0.011,0.823,"18,549,457",160,84,44.9,9.37
Mexico,North America,6.33,9.85,0.804,65.8,0.856,-0.094,0.768,"129,875,529",39,128,45.4,21.7
Malta,Europe,6.3,10.661,0.923,71.6,0.886,0.119,0.729,"467,138",54,35,31,20.26
Panama,Central America and the Caribbean,6.265,10.305,0.896,68.95,0.855,-0.133,0.878,"4,404,108",137,125,49.8,25.33
Poland,Europe,6.26,10.453,0.925,69.049,0.765,-0.031,0.736,"37,991,766",43,40,30.2,9.7
Nicaragua,Central America and the Caribbean,6.259,8.618,0.853,65.65,0.877,0.021,0.625,"6,359,689",93,146,46.2,25.81
Latvia,Europe,6.213,10.37,0.937,66.4,0.818,-0.056,0.83,"1,821,750",136,16,34.5,7.4
Bahrain,Middle East,6.173,10.776,0.844,65.825,0.944,0.117,0.737,"1,553,886",11,108,n/a,28.84
Guatemala,Central America and the Caribbean,6.15,9.116,0.812,62.9,0.856,-0.057,0.837,"17,980,803",36,172,48.3,23.77
